duration,resolution_status,issue_category,csat,bot_effectiveness,transfer_reason,friction_points,summary_text,sentiment
166,Transferred to Human,Shipping Delay,2.0,Medium,Policy restriction (Human required),Customer expressed frustration over missed delivery date and tracking not updating.,"The customer wanted to know why their prepaid order, expected to arrive on May 20th, had not yet been delivered. The issue was transferred to a human agent for courier investigation after the bot provided tracking details but the customer remained frustrated.",Negative
86,Transferred to Human,Missing Items,3.0,Medium,Policy restriction (Human required),None,"The customer reported a missing item from their recent online order where only two out of three expected products were delivered. The bot investigated the order, confirmed only two items, and transferred the query to a human agent for further review, with the customer remaining neutral and cooperative.",Negative
25,Transferred to Human,Other,2.0,Low,Requested by User,User repeatedly asked for an agent and did not engage with the bot's responses,"The customer wanted to speak directly with a human customer care agent. The issue was transferred to a human representative, with no resolution achieved by the bot and unclear customer satisfaction.",Negative
237,,,,,,,,Neutral
17,Abandoned by User,Other,2.0,Low,None,"Bot switched to Hindi before identifying the user’s issue, causing incomplete interaction",The customer attempted to contact support but did not clearly state an issue before the conversation stalled. No resolution was reached and the user did not express satisfaction or dissatisfaction.,Negative
77,Transferred to Human,Shipping Delay,3.0,Medium,Requested by User,"Customer requested escalation after receiving tracking details, implying incomplete satisfaction.","The customer wanted to know why their order was delayed. The bot provided tracking information but the customer requested to speak to a human, indicating partial resolution and moderate dissatisfaction.",Negative
88,Transferred to Human,Refund,2.0,Medium,Policy restriction (Human required),Customer showed frustration about the delay and the bot repeated refund status without confirming resolution.,"The customer was concerned about a delayed refund for a cancelled order. The bot verified that the refund was processed but since it hadn’t reached the customer, it offered to escalate to the senior team, leaving the issue unresolved and the customer unsatisfied.",Negative
89,Resolved by Bot,Missing Item,5.0,High,None,None,"The customer reported receiving only one sunscreen instead of two in their order. The bot resolved the issue by sending a WhatsApp link to raise a missing item complaint, and the customer appeared satisfied with the resolution.",Neutral
69,Transferred to Human,Shipping Delay,2.0,Medium,Requested by User,Customer expressed dissatisfaction with courier updates and stated they do not want to talk to customer care.,The customer reported that their parcel had not been delivered despite tracking showing it had reached the destination. The bot provided tracking details but eventually transferred the user to a senior agent due to frustration.,Neutral
135,Abandoned by User,Order Tracking,3.0,Medium,None,User expressed confusion ('Send what'); bot failed to confirm actual resolution or escalate further.,"The customer reported that their order was marked as delivered but they had not received it. The bot provided tracking information via WhatsApp and advised the customer to check locally and wait 48 hours, with the issue remaining partially unresolved and satisfaction appearing neutral.",Negative
70,Resolved by Bot,Refund,5.0,High,None,None,"The customer wanted clarification about a refund for a canceled order. The bot confirmed the refund had been processed and the user appeared satisfied, ending the chat politely.",Positive
31,Abandoned by User,Other,2.0,Medium,None,User stopped responding after bot asked for order confirmation,"The customer attempted to discuss an order but did not specify the issue before the conversation ended. The issue remained unresolved as the user did not continue the interaction, showing no clear satisfaction.",Positive
42,Transferred to Human,Other,1.0,Low,Requested by User,User repeatedly asked for a human agent; bot continued to respond without transferring.,The customer wanted to talk directly to a human agent and did not specify any order-related issue. The bot failed to fulfill this request and the interaction ended unresolved with the customer unsatisfied.,Negative
10,Abandoned by User,Other,,Low,None,None,"The customer’s primary issue is not specified as the transcript ends after the AI assistant’s greeting. There was no resolution or customer response, so satisfaction cannot be determined.",Negative
46,Transferred to Human,Missing Item,2.0,Low,Bot failed to understand,"Bot did not clearly address the payment failure or missing product concern, and the conversation ended without resolution.","The customer was concerned about a payment failure and non-receipt of a moisturizer from their order. The issue remained unresolved by the bot, and the customer appeared confused and dissatisfied.",Neutral
202,Resolved by Bot,Cancellation,4.0,High,None,Initial confusion about order status; minor language barriers but eventually clarified.,"The customer’s primary issue was that their parcel had not arrived and they wanted a refund for the cancelled order. The assistant explained the COD refund policy and cancellation reason, and the user ended the call calmly, appearing moderately satisfied.",Neutral
106,Transferred to Human,Missing Item,3.0,Medium,Policy restriction (Human required),Customer expressed confusion and concern about the incorrect delivery status.,"The customer reported that their order showed as delivered even though they did not physically receive it. The issue was escalated to a senior agent for investigation, with the customer appearing concerned but cooperative.",Negative
103,Transferred to Human,Return,3.0,Low,Bot failed to understand,Bot could not locate the order despite multiple attempts and asked for repeated details causing user confusion.,The customer wanted to return a product ordered from The Derma Co but the bot could not locate the order details using the provided information. The issue remained unresolved and the customer appeared neutral but slightly confused at the end.,Positive
25,Abandoned by User,Other,1.0,Low,None,"User was unresponsive, bot repeated prompts without receiving any input",The customer did not state any issue before going silent. The conversation ended without resolution and no indication of satisfaction.,Negative
38,Abandoned by User,Shipping Delay,2.0,Low,None,"Bot did not acknowledge or guide the user regarding delivery coordination, leading to no closure.","The customer faced a delivery issue where the delivery person was unable to locate the address. The bot retrieved order details but did not provide a clear resolution, and the interaction ended without confirmation of problem resolution or satisfaction.",Negative
5,Abandoned by User,Other,,Low,None,None,"The customer’s primary issue cannot be determined as only the greeting line is available. The conversation did not proceed, so there was no resolution or indication of satisfaction.",Negative
51,Abandoned by User,Wrong Item,2.0,Medium,None,"Customer reported return policy not available for item, showing continued dissatisfaction.","The customer received the wrong parcel and mentioned a missing item. The bot sent a WhatsApp message with return instructions, but the issue remained unresolved as the item wasn’t eligible for return and the customer was unsatisfied.",Neutral
78,Abandoned by User,Cancellation,2.0,Medium,None,User confusion due to mixed language responses and unclear explanation of cancellation reason.,"The customer wanted to know why their May 13 order was canceled. The bot explained the order was canceled and refunded, but the user remained confused and did not clearly acknowledge resolution.",Neutral
15,Transferred to Human,Other,3.0,High,Requested by User,None,"The customer requested to be connected to a human agent without specifying an order issue. The bot transferred the call successfully, and the customer’s satisfaction level cannot be determined from the transcript.",Negative
32,Abandoned by User,Other,3.0,Low,None,None,"The customer did not specify any particular issue and only exchanged greetings with the assistant. The interaction ended without resolution, and customer satisfaction cannot be determined.",Negative
6,Abandoned by User,Other,,Low,None,None,"The customer’s primary issue could not be identified because the transcript ends before they describe their concern. The interaction was incomplete, leaving the resolution status unknown and customer satisfaction undetermined.",Negative
14,Abandoned by User,Other,3.0,Unknown,None,None,"The customer reached out to The Derma Co support but did not specify their issue yet. No resolution was provided, and customer satisfaction cannot be determined.",Neutral
237,,,,,,,,Neutral
137,,,,,,,,Neutral
65,Transferred to Human,Shipping Delay,2.0,Low,Requested by User,User repeatedly stated no solution was given and demanded escalation; bot failed to address address mismatch or delivery resolution.,The customer's primary issue was that their prepaid order did not arrive at the correct address. The issue remained unresolved as the user insisted on talking to a senior and expressed dissatisfaction.,Negative
113,Transferred to Human,Order Tracking,2.0,Medium,Bot failed to understand,Bot unable to find order details; customer requested to speak with an agent,"The customer wanted to check delivery status of an order that was not yet delivered. The bot could not locate the order and transferred the case to a human agent, with the customer sounding unsatisfied.",Negative
45,Abandoned by User,Other,1.0,Low,Bot failed to understand,"Language mismatch, repeated connection issues, and no clear understanding of the customer's query",The customer attempted to communicate but the interaction was hindered by language barriers and connectivity issues. The query remained unresolved and the customer did not receive assistance before the call ended.,Positive
5,Unknown,Unknown,,Unknown,None,None,"The transcript is incomplete, so the customer's primary issue cannot be identified. There is no resolution or indication of customer satisfaction due to missing conversation details.",Negative
126,Transferred to Human,Shipping Delay,3.0,Medium,Requested by User,User showed confusion ('Lentinala' misunderstood) and requested a human agent after limited progress.,,Negative
54,Abandoned by User,Other,1.0,Low,None,Language mismatch between user and bot caused communication breakdown,The customer attempted to communicate but there was a language barrier preventing the query from being identified. The issue remained unresolved and the conversation ended without resolution or user satisfaction.,Positive
54,Transferred to Human,Payment Failure,3.0,Medium,Policy restriction (Human required),None,"The customer faced repeated payment failures and a blocked card while placing orders. The bot escalated the issue to a senior agent for deeper technical review, with the customer remaining neutral and the issue unresolved by the bot.",Neutral
115,Resolved by Bot,Wrong Item,5.0,High,None,None,"The customer reported that the free product from a buy-one-get-one offer arrived damaged and requested a replacement. The bot successfully guided the customer through the exchange process, and the customer rated the experience a 5, indicating full satisfaction.",Negative
37,,,,,,,,Neutral
75,Transferred to Human,Cancellation,3.0,Medium,Policy restriction (Human required),User’s concern not fully resolved and required escalation.,"The customer’s primary issue was repeated order cancellations. The bot explained the likely reason (security-based auto-cancel) and suggested using online payment, but ended by offering to connect to a senior, leaving the issue partially unresolved.",Negative
79,Resolved by Bot,Wrong Item,4.0,High,None,None,"The customer reported receiving a wrong item in their parcel instead of the correct products ordered. The bot guided the customer to initiate a return via WhatsApp, and the user seemed satisfied with the provided resolution.",Positive
125,,,,,,,,Neutral
97,Transferred to Human,Shipping Delay,3.0,Medium,Policy restriction (Human required),Customer expressed urgency and slight frustration about delay and courier communication.,"The customer wanted to know when their order would be delivered and reported a delivery issue with the courier. The AI assistant escalated the matter to the senior team for resolution, and the customer appeared mildly frustrated but hopeful for a quick fix.",Negative
130,Abandoned by User,Shipping Delay,2.0,Medium,None,Customer repeatedly asked for an exact delivery date; bot only provided tracking info and did not give clear resolution.,"The customer’s primary issue was a shipping delay and wanted to know the actual delivery date of their parcel. The bot provided tracking details via WhatsApp but did not give a firm delivery date, leaving the customer seemingly unsatisfied.",Neutral
51,Abandoned by User,Refund,2.0,Medium,None,User showed confusion after receiving instructions and repeated 'Hello' without clear closure.,"The customer wanted to return a premium parcel. The bot sent WhatsApp instructions for initiating a return, but the customer's ending tone was confused, indicating incomplete resolution.",Neutral
75,Transferred to Human,Shipping Delay,3.0,Medium,Policy restriction (Human required),Customer confusion and possible language barrier before transfer.,"The customer was concerned about a shipping delay for their recent order. The issue was transferred to a senior team member for further assistance, and the customer seemed uncertain at the end.",Negative
42,Abandoned by User,Other,2.0,Low,None,User confusion and language barrier; no clear understanding achieved before call ended,"The customer tried to confirm if they were speaking with The Derma Co representative but did not state any specific order issue. The query remained unresolved as no order-related concern was discussed, and the conversation ended without satisfaction.",Neutral
34,Abandoned by User,Other,2.0,Low,None,"Bot failed to understand the customer’s unclear and multilingual responses, leading to an unresolved interaction.","The customer appeared to contact support regarding an unspecified order issue, possibly related to order status or verification. The query remained unresolved as the conversation ended without clear clarification or resolution from the bot.",Negative
82,Resolved by Bot,Order Tracking,4.0,High,None,Minor connection or language confusion leading to repeated 'Hello' exchanges,,Neutral
90,Transferred to Human,Cancellation,2.0,Medium,Policy restriction (Human required),User repeatedly asked to speak to a representative; conversation ended without clear resolution or confirmation from user.,"The customer’s primary issue was repeated order cancellations. The bot identified the problem and escalated it to the senior team, but no confirmation of resolution or customer satisfaction was recorded.",Negative
36,Transferred to Human,Other,2.0,Low,Requested by User,Bot was unable to proceed beyond data retrieval; user repeated request to speak with a higher authority.,The customer wanted to speak directly with a higher authority regarding their issue. The bot attempted to retrieve order information but ultimately had to transfer the user to a human agent without resolving the concern.,Negative
38,Abandoned by User,Other,2.0,Low,None,Bot failed to understand user’s request due to unclear or mixed-language input.,"The customer’s main issue was unclear, with no specific order-related query identified. The bot could not understand the user’s request, and the conversation ended without resolution or clear satisfaction.",Negative
85,Resolved by Bot,Order Tracking,5.0,High,None,None,"The customer wanted to know when their order would be delivered. The bot provided the dispatch date, sent tracking details via WhatsApp, and the customer acknowledged with satisfaction.",Positive
25,Abandoned by User,Other,1.0,Low,None,"No user response, bot repeated prompts without progress",The customer's primary issue is unknown as they did not respond to the assistant's prompts. The conversation ended without resolution or indication of satisfaction.,Negative
216,,,,,,,,Neutral
174,,,,,,,,Neutral
36,Abandoned by User,Shipping Delay,2.0,Low,None,The bot performed multiple failed function calls and the customer seemed confused; no clear response from the bot after data retrieval.,The customer was facing a delivery-related issue where the delivery manager was allegedly blocking their number. The bot attempted to look up the customer's order but the interaction ended abruptly without clear resolution or user confirmation.,Negative
245,Transferred to Human,Refund,3.0,Medium,Bot failed to understand,"Bot was unable to locate the order through transaction details, repeated checks without resolution.","The customer reported that they made a payment for an order but it was not showing in their account. The case was transferred to a human agent for further investigation as the bot could not locate the order, and the customer appeared neutral but seeking resolution.",Negative
41,Abandoned by User,Wrong Item,2.0,Low,None,Bot failed to address the missing quantity issue and did not guide the user towards replacement or refund options.,"The customer reported receiving only one moisturizer instead of the four ordered. The bot did not resolve the issue or provide a clear next step, leaving the query unresolved and the customer likely dissatisfied.",Negative
140,Transferred to Human,Shipping Delay,3.0,Medium,Bot failed to resolve shipping delay and escalated to human,Customer confusion over delivery updates and multiple reassurances before escalation,"The customer’s main issue was with a delayed order that had not arrived even after the expected delivery date passed. The case was transferred to a human agent for escalation, and the customer remained uncertain but engaged.",Negative
141,Resolved by Bot,Shipping Delay,3.0,High,None,Customer uncertain about rating since order not yet received,"The customer wanted to know the delivery status for their order that was delayed past its estimated delivery date. The bot provided an explanation and estimated timeline but the customer remained neutral, choosing to wait for the delivery before rating satisfaction.",Neutral
129,Transferred to Human,Missing Item,3.0,Medium,Policy restriction (Human required),Customer confusion over incomplete delivery; bot had to switch languages and clarify shipment splits.,"The customer reported that one of four ordered products was missing from their delivery. The issue was escalated to a senior team member, and the customer appeared neutral and cooperative.",Negative
38,Transferred to Human,Other,3.0,Low,Requested by User,User repeatedly asked for transfer; no resolution before transfer.,The customer wanted order-related information and requested to speak with a human agent. The bot initiated a transfer but did not complete the resolution within the conversation.,Negative
64,Abandoned by User,Shipping Delay,2.0,Medium,None,Customer expressed frustration about inconsistency in delivery timeframe and lack of satisfactory explanation.,"The customer was concerned about a shipping delay, questioning why their parcel had not arrived despite the expected delivery timeframe passing. The assistant provided tracking information and estimated delivery time, but the customer remained dissatisfied and questioned the explanation, indicating incomplete resolution.",Negative
52,,,,,,,,Neutral
121,Resolved by Bot,Order Tracking,5.0,High,None,None,"The customer was concerned that an SMS mentioned their order was not confirmed and might be refunded. The bot verified the order was confirmed and reassured the customer, who seemed satisfied with the resolution.",Positive
8,Abandoned by User,Other,,Low,None,None,"The customer’s primary issue could not be determined as the conversation ended before the customer stated their concern. No resolution was reached, and customer satisfaction cannot be assessed.",Negative
39,Abandoned by User,Missing Items,2.0,Low,Bot failed to understand,Bot retrieved order details but did not address partial delivery complaint or payment confusion.,"The customer reported receiving only two out of five items from an order worth ₹998 and being asked to pay again for the remaining items. The issue remained unresolved as the bot did not provide a clear resolution or next steps, leaving the customer unsatisfied.",Positive
67,Abandoned by User,Other,2.0,Medium,None,Language mismatch between user and bot; unclear customer request leading to repeated prompts from bot.,"The customer's primary issue was unclear, though it appeared related to their phone number and order details verification. The bot retrieved account and order information but did not achieve full resolution or clarity, and the user did not express satisfaction.",Negative
70,Resolved by Bot,Order Tracking,5.0,High,None,None,The customer wanted to know the delivery status and expected arrival date of their order. The bot provided tracking details via WhatsApp and the customer appeared satisfied with the resolution.,Positive
108,Transferred to Human,Shipping Delay,3.0,Medium,Policy restriction (Human required),Customer confusion over delivered vs cancelled status; required escalation for refund verification,"The customer reported that their order #3367101 was marked as delivered but had actually been cancelled and not received. The AI assistant verified the issue and transferred the case to a senior team for investigation, with the customer remaining neutral but unsatisfied.",Negative
69,Resolved by Bot,Order Tracking,5.0,High,None,None,"The customer wanted to know why their order had not yet been delivered. The bot provided the estimated delivery date and tracking update, and the customer ended the chat seemingly satisfied.",Positive
89,Resolved by Bot,Shipping Delay,5.0,High,None,None,,Neutral
177,,,,,,,,Neutral
225,Resolved by Bot,Missing Item,5.0,High,None,"Minor confusion at the start due to voice clarity, but quickly resolved once the issue was understood.","The customer reported that one item from her skincare order was missing, having received only one of the two products purchased. The bot confirmed it was a split shipment, assured delivery of the second item by May 25, 2026, and the customer appeared satisfied by the end.",Positive
28,Abandoned by User,Other,1.0,Low,None,User did not respond; conversation ended without resolution,The customer's primary issue was not stated as they never responded to the assistant's prompts. The inquiry remained unresolved since no interaction occurred and the user did not engage.,Positive
19,Abandoned by User,Other,1.0,Low,None,User did not engage; bot looped or stalled without clear direction.,The customer did not state any issue before the bot prompted to continue. The interaction ended without resolution or customer feedback.,Negative
356,Transferred to Human,Missing Items,2.0,Medium,Policy restriction (Human required),Customer showed frustration about repeated calls and unavailability of senior support; bot conversation loop due to connection and language issues.,"The customer called regarding missing items from order #3449277. The issue remained unresolved as the bot could not transfer to a senior executive due to non-office hours, leaving the customer dissatisfied and frustrated.",Negative
32,Abandoned by User,Other,1.0,Low,None,No response from user; bot repeatedly asked for acknowledgment.,The customer did not state any issue or respond during the interaction. The conversation ended without resolution or confirmation of satisfaction.,Negative
77,Transferred to Human,Refund,3.0,Medium,Policy restriction (Human required),"Transfer could not be completed due to non-office hours, leaving issue unresolved","The customer reported that their refund for a canceled order had not been credited to their bank account. The issue was transferred for human follow-up due to non-office hours, leaving the customer waiting but somewhat cooperative.",Neutral
11,Abandoned by User,Other,,Low,None,None,The customer’s primary issue is unknown as the conversation ended before they stated their concern. No resolution occurred and satisfaction cannot be determined.,Negative
316,Resolved by Bot,Shipping Delay,5.0,High,None,Temporary communication difficulty while confirming alternate phone number,"The customer reported a delayed order delivery beyond the estimated date. The bot verified the order status, resent tracking details to the correct WhatsApp number, and the issue was resolved with the customer expressing satisfaction.",Neutral
151,Resolved by Bot,Order Tracking,5.0,High,None,Minor initial communication delay; user switched language preference to Hindi,,Negative
48,,,,,,,,Neutral
79,Transferred to Human,Missing Items,3.0,Medium,Policy restriction (Human required),Customer was following up on a previously unresolved issue; transfer attempt failed due to non-office hours.,"The customer reported missing items from their delivered order #3449277. The issue was not resolved immediately and was redirected to WhatsApp support for follow-up, leaving the customer likely neutral or slightly dissatisfied.",Negative
185,Transferred to Human,Cancellation,3.0,Medium,Policy restriction (Human required),User expressed frustration about automatic cancellation and refund delay; transfer attempt failed due to non-office hours.,,Negative
180,Resolved by Bot,Order Tracking,4.0,Medium,None,User had difficulty expressing the issue clearly and switched languages; bot needed multiple clarifications before resolution.,"The customer was confused about a refund and wanted to confirm if her order was successfully placed and visible in the app. The bot verified the order, provided delivery details, and offered troubleshooting steps, leaving the customer seemingly satisfied but somewhat confused at the end.",Positive
93,Transferred to Human,Cancellation,3.0,Medium,Requested by User,"Transfer attempt failed due to non-office hours, leaving the customer without immediate human support.","The customer wanted to confirm the cancellation status of their order. The bot verified the orders were canceled but had to transfer the call to a human representative; transfer failed due to non-office hours, leaving the issue partially unresolved.",Negative
12,Abandoned by User,Other,,Unknown,None,None,"The transcript only contains the assistant’s greeting with no customer input or stated issue. Therefore, there was no resolution or indication of satisfaction.",Negative
332,Resolved by Bot,Shipping Delay,5.0,High,None,Minor delay in message delivery confirmation via WhatsApp,,Negative
170,Transferred to Human,Missing Items,3.0,Medium,Policy restriction (Human required),Minor misunderstanding when interpreting user’s mixed-language explanation of missing items.,"The customer reported that out of five products in their delivered order, only two were received, leaving three items missing. The issue was escalated to senior support due to non-office hours, and a WhatsApp link was sent for further assistance; customer satisfaction remains neutral as resolution is pending.",Negative
24,Abandoned by User,Other,1.0,Low,None,No engagement from user after greeting,The customer initiated contact but did not specify any issue before the conversation ended. No resolution was achieved as the interaction did not proceed beyond initial greetings.,Negative
172,Transferred to Human,Shipping Delay,3.0,Medium,Policy restriction (Human required),Customer showed repeated confusion and frustration; bot could not clarify delivery agent instructions and looped in responses.,"The customer was confused about instructions from a delivery agent and sought clarification on the delivery process. The issue was transferred to human support with a WhatsApp follow-up, and the customer ended the chat with partial acknowledgment but not full satisfaction.",Negative
139,Transferred to Human,Order Tracking,3.0,Medium,Requested by User,Customer insisted on speaking to a human even after receiving tracking details; limited support availability due to non-office hours.,"The customer wanted to know the delivery status of an order placed on May 16th that had not yet been delivered. The bot provided tracking details via WhatsApp, but the customer requested to speak with a human, and the call was transferred due to policy restrictions during non-office hours, leaving the issue partially unresolved.",Neutral
132,Abandoned by User,Refund,2.0,Medium,None,User repeatedly indicated they had already placed the order and refund was pending; bot could not locate order and conversation stalled.,,Neutral
129,Resolved by Bot,Refund,4.0,High,None,"Minor language confusion when the user switched between languages, but quickly recovered.","The customer wanted to check the refund status for a cancelled UPI order. The bot confirmed the refund process and timeline, and the customer ended the call calmly and satisfied.",Positive
35,Abandoned by User,Other,1.0,Low,None,User received no response leading to disengagement,The customer attempted to initiate contact but did not state a specific issue before the conversation ended. The interaction was unresolved as no assistance was provided and the user disengaged without resolution.,Positive
168,Transferred to Human,Wrong Item,3.0,Medium,Requested by User,User confusion due to language switching; bot could not fully resolve the expired product complaint.,"The customer reported receiving an expired product from their recent order. The bot provided return instructions via WhatsApp but ultimately transferred the case to a senior team due to escalation, with the customer ending the chat politely but unresolved until follow-up.",Positive
125,Resolved by Bot,Missing Items,4.0,High,None,Minor confusion at the beginning when the user repeated themselves and said 'Hello?'; bot quickly recovered.,"The customer reported that only one of three ordered items was delivered and believed some items were missing. The bot explained that the order was split into two shipments, confirmed the second was out for delivery, and the customer ended the call mildly satisfied but not fully engaged.",Positive
306,Transferred to Human,Order Tracking,3.0,Medium,Policy restriction (Human required),User repeated concerns about missing email confirmations and order not reflecting in the app; minor misunderstanding due to language and transfer timing outside office hours.,"The customer reported that her recent order was not appearing in the app and she hadn’t received any confirmation emails despite payment being completed. The issue was escalated to a human due to concerns about missing updates and order visibility, leaving the customer partially reassured but not fully satisfied.",Negative
150,Transferred to Human,Shipping Delay,3.0,Medium,Policy restriction (Human required),Customer showed frustration regarding shipment delay and timeline discrepancies.,The customer was concerned about a delayed order and wanted to know the delivery status and reason for the delay. The issue was transferred to a human agent after the bot provided tracking details; the customer appeared somewhat dissatisfied.,Negative
6,Abandoned by User,Other,,,,,The customer’s primary issue is not stated as the transcript ends immediately after the bot’s greeting. No resolution occurred and customer satisfaction cannot be determined.,Negative
24,Abandoned by User,Other,3.0,Low,None,"User did not proceed beyond greeting, no issue identified.",The customer greeted the assistant but did not specify their issue yet. The conversation ended without resolution or clear satisfaction indicator.,Negative
95,Resolved by Bot,Order Tracking,5.0,High,None,None,"The customer wanted to know the status of an order placed on May 15 that had not yet been received. The assistant provided the tracking information via WhatsApp, resolving the query successfully and the customer appeared satisfied.",Positive
88,Resolved by Bot,Order Tracking,5.0,High,None,None,,Neutral
446,Transferred to Human,Shipping Delay,3.0,Medium,Policy restriction (Human required),User did not receive tracking details via WhatsApp and showed frustration; communication barriers in language caused minor confusion.,The customer wanted to know the delivery status of two orders that had not been successfully delivered. The issue was marked for high-priority follow-up with the logistics team after unsuccessful WhatsApp updates; the customer ended the call sounding somewhat dissatisfied but acknowledged help.,Negative
17,,,,,,,,Neutral
